fecha,direccion,resultado,entry,pnl_bruto,fees,pnl_neto,capital
2026-03-09 04:30:00,SHORT,STOP,66913.39,-2.8,0.0994,-2.8994,188.9944
2026-03-10 04:15:00,LONG,TAKE,69224.73,3.92,0.1,3.82,192.8144
2026-03-10 09:45:00,SHORT,STOP,70056.37,-2.8,0.0994,-2.8994,189.915
2026-03-10 16:30:00,LONG,STOP,71056.49,-2.8,0.0994,-2.8994,187.0156
2026-03-12 19:15:00,SHORT,STOP,69729.17,-2.8,0.0994,-2.8994,184.1162
2026-03-16 20:00:00,LONG,TAKE,73635.85,3.92,0.1,3.82,187.9362
2026-03-18 07:00:00,LONG,STOP,74232.94,-2.8,0.0994,-2.8994,185.0368
2026-03-26 10:15:00,SHORT,TAKE,70739.89,3.92,0.1,3.82,188.8569
2026-03-30 08:15:00,LONG,TAKE,66307.82,3.92,0.1,3.82,192.6769
2026-04-01 00:15:00,SHORT,STOP,67258.18,-2.8,0.0994,-2.8994,189.7775
2026-04-05 18:15:00,LONG,TAKE,66920.26,3.92,0.1,3.82,193.5976
2026-04-11 13:30:00,LONG,TAKE,71694.07,3.92,0.1,3.82,197.4176
2026-04-13 09:45:00,SHORT,STOP,70808.35,-2.8,0.0994,-2.8994,194.5182
2026-04-16 15:00:00,SHORT,STOP,73935.61,-2.8,0.0994,-2.8994,191.6188
