fecha,direccion,resultado,entry,pnl_bruto,fees,pnl_neto,capital
2024-02-04 17:30:00,LONG,STOP,43155.61,-16.8,0.2044,-17.0044,1022.7242
2024-02-07 16:30:00,LONG,TAKE,43087.65,25.2,0.2086,24.9914,1047.7156
2024-02-10 22:45:00,LONG,TAKE,47137.09,25.2,0.2086,24.9914,1072.707
2024-02-12 10:30:00,LONG,TAKE,48264.38,25.2,0.2086,24.9914,1097.6984
2024-02-21 07:00:00,LONG,STOP,51778.24,-16.8,0.2044,-17.0044,1080.694
2024-02-23 18:15:00,LONG,STOP,51603.44,-16.8,0.2044,-17.0044,1063.6896
2024-02-26 10:45:00,LONG,TAKE,51308.28,25.2,0.2086,24.9914,1088.681
2024-02-28 03:00:00,LONG,TAKE,56879.69,25.2,0.2086,24.9914,1113.6724
2024-02-29 01:00:00,LONG,TAKE,61227.28,25.2,0.2086,24.9914,1138.6638
2024-03-03 19:30:00,LONG,TAKE,61949.62,25.2,0.2086,24.9914,1163.6552
2024-03-06 10:00:00,LONG,STOP,66719.98,-16.8,0.2044,-17.0044,1146.6508
2024-03-08 10:00:00,LONG,TAKE,66628.96,25.2,0.2086,24.9914,1171.6422
2024-03-11 02:00:00,LONG,TAKE,68164.51,25.2,0.2086,24.9914,1196.6336
2024-03-12 10:00:00,LONG,STOP,72288.47,-16.8,0.2044,-17.0044,1179.6292
2024-03-14 09:45:00,LONG,STOP,72808.56,-16.8,0.2044,-17.0044,1162.6248
2024-03-16 09:00:00,LONG,STOP,68966.09,-16.8,0.2044,-17.0044,1145.6204
2024-03-17 12:45:00,LONG,TAKE,66532.67,25.2,0.2086,24.9914,1170.6118
2024-03-18 09:30:00,LONG,STOP,68241.91,-16.8,0.2044,-17.0044,1153.6074
2024-03-18 20:15:00,LONG,STOP,67520.83,-16.8,0.2044,-17.0044,1136.603
2024-03-19 17:30:00,LONG,STOP,64190.16,-16.8,0.2044,-17.0044,1119.5986
2024-03-20 12:15:00,LONG,TAKE,62817.11,25.2,0.2086,24.9914,1144.59
2024-03-21 10:00:00,LONG,STOP,67279.0,-16.8,0.2044,-17.0044,1127.5856
2024-04-03 23:15:00,LONG,STOP,66631.35,-16.8,0.2044,-17.0044,1110.5812
2024-04-06 18:00:00,LONG,TAKE,67365.0,25.2,0.2086,24.9914,1135.5726
2024-04-08 03:15:00,LONG,TAKE,69320.15,25.2,0.2086,24.9914,1160.564
2024-04-09 02:45:00,LONG,STOP,71768.18,-16.8,0.2044,-17.0044,1143.5596
2024-04-12 11:00:00,LONG,STOP,70580.64,-16.8,0.2044,-17.0044,1126.5552
2024-04-14 12:15:00,LONG,STOP,64259.92,-16.8,0.2044,-17.0044,1109.5508
2024-04-15 01:15:00,LONG,TAKE,64376.15,25.2,0.2086,24.9914,1134.5422
2024-04-15 09:30:00,LONG,STOP,66096.51,-16.8,0.2044,-17.0044,1117.5378
2024-04-17 09:15:00,LONG,STOP,62692.35,-16.8,0.2044,-17.0044,1100.5334
